item	subtype	subsubtype	optionality	response
Adjustable spanner	Combination adjustable spanner	-	"handle: F
open jaw: F
enclosed head: F
worm gear: F"	"1. handle: steel or aluminum
2. open jaw: steel
3. enclosed head: steel
4. worm gear: steel"
Adjustable spanner	Monkey wrench	-	"handle: F
flat parallel jaw: F
worm gear: F
flat fixed jaw: F"	"1. handle: metal
2. flat parallel jaw: metal
3. worm gear: metal
4. flat fixed jaw: metal"
Aerial bomb	General-purpose bomb	-	"body: F
explosive: F
fuze: F
stabilizing fins: F"	"1. body: metal
2. explosive: chemical compounds
3. fuze: electronics and metal
4. stabilizing fins: metal"
Aerial bomb	Bunker Buster Bomb	-	"body: F
hardened casing: F
explosive: F
fuze: F
stabilizing fins: F"	"1. body: metal
2. hardened casing: steel or tungsten
3. explosive: chemical compounds
4. fuze: metal and electronics
5. stabilizing fins: metal"
Aerial bomb	Cluster bomb	-	"body: F
submunitions: F
expulsion charge: F
fuze: F
stabilizing fins: F"	"1. body: metal
2. submunitions: metal, explosives, and plastics
3. expulsion charge: chemicals
4. fuze: metal, electronics, and chemicals
5. stabilizing fins: metal"
Aerial bomb	Glide bomb	-	"body: F
explosive: F
fuze: F
wings or fins: F"	"1. body: metal
2. explosive: chemical compounds
3. fuze: electronics, metal, and plastic
4. wings or fins: metal or composite materials"
Aerial bomb	Fuel-air explosive (FAE) aerial bomb	-	"body: F
fuel-air explosive: F
fuze: F
stabilizing fins: F"	"1. body: metal
2. fuel-air explosive: chemicals
3. fuze: electronics and metal
4. stabilizing fins: metal"
Aerial bomb	Nuclear aerial bomb	-	"body: F
nuclear material: F
fuze: F
stabilizing fins: F"	"1. body: metal or composite material
2. nuclear material: enriched uranium or plutonium
3. fuze: electronics and metal
4. stabilizing fins: metal"
Aerial bomb	Incendiary bomb	-	"body: F
incendiary material: F
fuze: F
stabilizing fins: F"	"1. body: metal
2. incendiary material: thermite or white phosphorus and/or other incendiary compounds
3. fuze: metal, electronics
4. stabilizing fins: metal"
Aerial lift	Scissor lift	-	"base: F
platform: F
scissor legs: F
controls: F
wheels: F"	"1. base: steel
2. platform: steel and/or aluminum
3. scissor legs: steel
4. controls: electronics and metal
5. wheels: rubber and metal"
Aerial lift	Articulating boom lift	-	"base: F
turntable: F
boom arms: F
bucket/platform: F
controls: F
wheels: F"	"1. base: metal
2. turntable: metal
3. boom arms: metal
4. bucket/platform: metal
5. controls: electronics and plastics
6. wheels: rubber and metal"
Aerial lift	Telescopic boom lift	-	"base: F
turntable: F
telescopic boom: F
bucket/platform: F
controls: F
wheels: F"	"1. base: steel
2. turntable: steel
3. telescopic boom: steel
4. bucket/platform: steel or aluminum
5. controls: electronics and/or plastic
6. wheels: rubber and metal"
Aerial lift	Vertical mast lift	-	"base: F
vertical mast: F
platform: F
controls: F
wheels: F"	"1. base: metal, rubber
2. vertical mast: metal
3. platform: metal, rubber
4. controls: electronics, plastic, metal
5. wheels: metal, rubber"
Aerial lift	Towable boom lift	-	"base: F
turntable: F
boom: F
bucket/platform: F
controls: F
wheels: F"	"1. base: metal
2. turntable: metal
3. boom: metal
4. bucket/platform: metal, and/or plastic
5. controls: metal, electronics, and/or plastic
6. wheels: metal, rubber"
Aerial lift	Atrium lift	-	"base: F
turntable: F
multi-section extendable boom: F
bucket/platform: F
controls: F
tracks or wheels: F"	"1. base: steel
2. turntable: steel
3. multi-section extendable boom: steel and/or aluminum
4. bucket/platform: steel or aluminum
5. controls: electronics and plastic
6. tracks or wheels: steel and/or rubber"
Aerial lift	Under-bridge inspection vehicle	-	"vehicle base: F
turntable: F
boom assembly: F
under-bridge attachment: F
platform/bucket: F
controls: F"	"1. vehicle base: steel and/or aluminum
2. turntable: steel and/or aluminum
3. boom assembly: steel and/or aluminum
4. under-bridge attachment: steel
5. platform/bucket: steel and/or aluminum
6. controls: electronics, metal, and plastics"
Aerial tramway	Reversible aerial tramway	-	"cabin: F
cables: F
support towers: F
drive station: F
return station: F"	"1. cabin: metal, glass, and plastic
2. cables: steel
3. support towers: metal
4. drive station: metal, electronics
5. return station: metal, electronics"
Aerial tramway	Pulse gondola lift	-	"multiple cabins: F
cables: F
support towers: F
drive station: F
return station: F
line storage spools: F"	"1. multiple cabins: metal, glass, and plastic
2. cables: steel
3. support towers: steel or concrete
4. drive station: metal, electronics
5. return station: metal, electronics
6. line storage spools: metal"
Aerial tramway	Detachable grip aerial tramway	-	"cabins: F
cables: F
support towers: F
drive station: F
return station: F
grips: F"	"1. cabins: metal, glass, and plastics
2. cables: steel
3. support towers: steel
4. drive station: metal, electronics, and concrete
5. return station: metal, electronics, and concrete
6. grips: metal"
Aerosol spray dispenser	Continuous spray	-	"container: F
valve: F
actuator: F
dip tube: F
propellant: F"	"1. container: plastic or metal
2. valve: plastic and metal
3. actuator: plastic
4. dip tube: plastic
5. propellant: hydrocarbons or compressed gases"
Aerosol spray dispenser	Metered dose	-	"container: F
metering valve: F
actuator: F
dip tube: F
propellant: F"	"1. container: metal or plastic
2. metering valve: metal and plastics
3. actuator: plastic
4. dip tube: plastic
5. propellant: chemical compounds"
Aglet	-	-	-: F	plastic or metal
Air filter	Panel air filter	-	"filter media: F
frame: F"	"1. filter media: paper, cotton, and/or synthetic fibers
2. frame: metal or plastic"
Air filter	Radial air filter	-	"filter media: F
end caps: F
center tube: F"	"1. filter media: paper, synthetic fibers
2. end caps: metal, plastic, and/or rubber
3. center tube: metal or plastic"
Air filter	Cartridge air filter	-	"filter media: F
end caps: F
gaskets: F"	"1. filter media: paper or synthetic material
2. end caps: metal or plastic
3. gaskets: foam or rubber"
Air filter	HEPA filter	-	"filter media: F
frame: F
separators: T"	"1. filter media: fibrous materials
2. frame: plastic or metal
3. separators: aluminum or paper"
Air filter	Carbon air filter	-	"filter media: F
frame: F
pre-filter: T"	"1. filter media: activated carbon
2. frame: plastic or metal
3. pre-filter: non-woven fabric"
Air filter	Electrostatic air filter	-	"filter media: F
frame: F
ionizer wires: T
collecting plates: F"	"1. filter media: synthetic fibers or metal
2. frame: plastic or metal
3. ionizer wires: metal
4. collecting plates: metal"
Air gun	Spring-piston air gun	-	"barrel: F
spring: F
piston: F
trigger: F"	"1. barrel: steel or brass
2. spring: steel
3. piston: metal
4. trigger: metal or plastic"
Air gun	Pneumatic air gun	-	"barrel: F
air reservoir: F
valves: F
trigger: F
pump: T"	"1. barrel: metal
2. air reservoir: metal
3. valves: metal and rubber
4. trigger: metal or plastic
5. pump: metal and rubber"
Air gun	CO2 air gun	-	"barrel: F
CO2 cartridge: F
valve: F
trigger: F"	"1. barrel: metal
2. CO2 cartridge: metal
3. valve: metal and plastics
4. trigger: metal or plastic"
Air gun	Gas ram air gun	-	"barrel: F
gas ram: F
trigger: F"	"1. barrel: metal
2. gas ram: metal and/or synthetic material
3. trigger: metal"
Air gun	Precharged pneumatic (PCP) air gun	-	"barrel: F
air cylinder or reservoir: F
valve: F
trigger: F"	"1. barrel: steel or brass
2. air cylinder or reservoir: steel, aluminum, or carbon fiber
3. valve: metal or plastic
4. trigger: metal or plastic"
Air horn	Handheld Air Horn	-	"diaphragm: F
horn: F
valve: F
button: F
compressed air canister: F"	"1. diaphragm: metal or plastic
2. horn: metal or plastic
3. valve: metal
4. button: plastic
5. compressed air canister: metal"
Air horn	Electric Air Horn	-	"horn: F
electric compressor: F
electric valve: F
wiring: F"	"1. horn: plastic or metal
2. electric compressor: metal, electronics
3. electric valve: metal, electronics
4. wiring: copper, insulation materials"
Air horn	Locomotive Air Horn	-	"large horn: F
manual valve: F
pressure tank: F
mounting base: F"	"1. large horn: metal
2. manual valve: metal
3. pressure tank: metal
4. mounting base: metal"
Air horn	Ship Air Horn	-	"very large horn: F
pneumatic valve: F
compressed air source: F
mounting structure: F"	"1. very large horn: metal
2. pneumatic valve: metal and plastic
3. compressed air source: metal
4. mounting structure: metal"
Air mattress	-	-	"outer fabric: F
inner construction: F
valve: F"	"1. outer fabric: PVC or textile reinforced urethane plastic or rubber
2. inner construction: PVC or textile reinforced urethane plastic or rubber
3. valve: plastic"
Air pump	Manual air pump	-	"body: F
handle: F
piston: F
base: T
hose: F
nozzle: F"	"1. body: plastic or metal
2. handle: plastic or rubber or wood
3. piston: metal or plastic
4. base: plastic or metal
5. hose: rubber or plastic
6. nozzle: metal or plastic"
Air pump	Electric air pump	-	"body: F
motor: F
hose: F
nozzle: F
power cord: F"	"1. body: plastic or metal
2. motor: electronics and metal
3. hose: rubber or plastic
4. nozzle: metal or plastic
5. power cord: copper and plastic"
Air pump	Foot pump	-	"body: F
foot pedal: F
piston: F
hose: F
nozzle: F"	"1. body: metal or plastic
2. foot pedal: metal or plastic
3. piston: metal
4. hose: rubber or plastic
5. nozzle: metal or plastic"
Air purifier	HEPA air purifier	-	"body: F
fan: F
HEPA filter: F
pre-filter: T
activated carbon filter: T
controls: F"	"1. body: plastic or metal
2. fan: plastic and/or metal
3. HEPA filter: fiberglass and/or other forms of fine mesh materials
4. pre-filter: synthetic fibers or foam
5. activated carbon filter: activated carbon and sometimes textile materials
6. controls: electronics and plastics"
Air purifier	Activated carbon air purifier	-	"body: F
fan: F
activated carbon filter: F
pre-filter: T
controls: F"	"1. body: plastic or metal
2. fan: plastic and/or metal
3. activated carbon filter: activated carbon, and non-woven fabric
4. pre-filter: synthetic fibers
5. controls: electronics, and/or plastic"
Air purifier	UV air purifier	-	"body: F
fan: F
UV lamp: F
pre-filter: T
controls: F"	"1. body: plastic or metal
2. fan: plastic and electronics
3. UV lamp: glass and metal
4. pre-filter: foam or fabric
5. controls: electronics and plastic"
Air purifier	Ionic air purifier	-	"body: F
ionizer: F
collector plates: F
fan: T
controls: F"	"1. body: plastic
2. ionizer: electronics and metal
3. collector plates: metal
4. fan: metal and plastic
5. controls: electronics and plastic"
Air purifier	Ozone-based Air Purifier	-	"body: F
ozone generator: F
controls: F"	"1. body: metal or plastic
2. ozone generator: electronics, metal, and ceramic
3. controls: electronics and plastic"
Air purifier	Electrostatic precipitator	-	"body: F
fan: F
electrostatic filter: F
pre-filter: T
controls: F"	"1. body: metal
2. fan: metal and/or plastics
3. electrostatic filter: metal wires and/or metal plates
4. pre-filter: fabric or metal mesh
5. controls: electronics and plastics"
Air raid shelter	Public air raid shelter	-	"walls: F
roof: F
floors: F
entrance: F"	"1. walls: reinforced concrete and/or steel
2. roof: reinforced concrete and/or steel
3. floors: concrete
4. entrance: steel or reinforced concrete"
Air raid shelter	Private air raid shelter	-	"walls: F
roof: F
entrance: F"	"1. walls: steel and/or reinforced concrete
2. roof: steel and/or reinforced concrete
3. entrance: steel"
Air raid shelter	Bunker	-	"walls: F
roof: F
floor: F
entrance: F"	"1. walls: reinforced concrete and/or steel
2. roof: reinforced concrete and/or steel
3. floor: reinforced concrete and/or steel
4. entrance: reinforced concrete and/or steel"
Air raid shelter	Blast Shelter	-	"reinforced walls: F
reinforced roof: F
entrance: F"	"1. reinforced walls: concrete, steel, and/or lead
2. reinforced roof: concrete, steel, and/or lead
3. entrance: steel, metal alloys, and/or concrete"
Air-to-surface missile	Tactical air-to-surface missile	-	"airframe: F
warhead: F
propulsion: F
fins: F"	"1. airframe: aluminum or titanium and/or composite materials
2. warhead: steel and explosives
3. propulsion: metal alloys and electronics
4. fins: metal or composite materials"
Air-to-surface missile	Strategic Air-to-Surface Missile	-	"airframe: F
warhead: F
propulsion: F
fins: F
multiple independently targetable reentry vehicle: T"	"1. airframe: aluminum alloys, titanium alloys, or composites
2. warhead: metals, explosives
3. propulsion: metals, ceramics, composites
4. fins: metal, composites
5. multiple independently targetable reentry vehicle: metals, electronics, composites"
Air-to-surface missile	Cruise missile	-	"airframe: F
warhead: F
propulsion: F
wings: F
control surfaces: F"	"1. airframe: aluminum, titanium, and/or composite materials
2. warhead: composite materials, metal, and/or explosive materials
3. propulsion: metal, ceramics, and composite materials
4. wings: aluminum, titanium, or composite materials
5. control surfaces: aluminum, titanium, or composite materials"
Air-to-surface missile	Maritime strike air-to-surface missile	-	"airframe: F
warhead: F
propulsion: F
fins: F
seeker: F"	"1. airframe: aluminum, titanium, and/or steel
2. warhead: explosives, metal
3. propulsion: metal, electronics, composite materials
4. fins: metal or composite materials
5. seeker: electronics, metal, and glass"
Air-to-surface missile	Air-to-surface anti-tank missile	-	"airframe: F
warhead: F
propulsion: F
fins: F
guidance wire: T
infrared seeker: T"	"1. airframe: metal or composite materials
2. warhead: metal and explosives
3. propulsion: metal and propellant chemicals
4. fins: metal or composite materials
5. guidance wire: metal and/or electronics
6. infrared seeker: electronics and metal"
Airbag	-	-	"fabric bag: F
inflator: F
sensor: F
housing: F"	"1. fabric bag: nylon
2. inflator: metal
3. sensor: electronics
4. housing: plastic or metal"
Aircraft	Airplane	-	"wings: F
fuselage: F
empennage: F
landing gear: F
engine: F"	"1. wings: aluminum, composite materials
2. fuselage: aluminum, composite materials
3. empennage: aluminum, composite materials
4. landing gear: steel, titanium, and aluminum
5. engine: titanium, nickel alloys, ceramics, and composite materials"
Aircraft	Helicopter	-	"fuselage: F
main rotor: F
tail rotor: F
landing skids or wheels: F"	"1. fuselage: aluminum alloy, composites, and/or steel
2. main rotor: aluminum alloy, steel, titanium, and/or composites
3. tail rotor: aluminum alloy, steel, titanium, and/or composites
4. landing skids or wheels: metal and/or composites"
Aircraft	Glider	-	"wings: F
fuselage: F
empennage: F
landing gear: T"	"1. wings: metal, wood, and/or composite materials
2. fuselage: metal, wood, and/or composite materials
3. empennage: metal, wood, and/or composite materials
4. landing gear: metal"
Aircraft	Airship	-	"envelope: F
gondola or cabin: F
propulsion engines: T
control surfaces: F"	"1. envelope: fabric covered with a synthetic material or rubber
2. gondola or cabin: aluminum, steel, or composite materials
3. propulsion engines: metals, composite materials
4. control surfaces: fabric covered with a synthetic material, aluminum"
Aircraft	Hot Air Balloon	-	"envelope: F
basket or gondola: F
burner: F"	"1. envelope: nylon or polyester
2. basket or gondola: wicker or aluminum
3. burner: metal"
Aircraft	Drone	-	"frame: F
propellers or rotors: F
control electronics: F"	"1. frame: plastic or carbon fiber
2. propellers or rotors: plastic
3. control electronics: electronics"
Aircraft engine	Piston engine	-	"cylinders: F
piston: F
crankshaft: F
camshaft: F
spark plugs: F
carburetor: T
fuel injectors: T"	"1. cylinders: cast iron or aluminum
2. piston: aluminum or steel
3. crankshaft: steel or cast iron
4. camshaft: steel or cast iron
5. spark plugs: ceramics and metal
6. carburetor: metal
7. fuel injectors: metal and plastic"
Aircraft engine	Turboprop engine	-	"compressor: F
combustor: F
turbine: F
propeller: F
reduction gearbox: F"	"1. compressor: aluminum and/or titanium alloys
2. combustor: ceramic and/or nickel-based alloys
3. turbine: ceramic, nickel-based alloys, and/or titanium alloys
4. propeller: aluminum or composite materials
5. reduction gearbox: steel alloys"
Aircraft engine	Turbojet engine	-	"compressor: F
combustor: F
turbine: F
exhaust nozzle: F"	"1. compressor: aluminum alloy, titanium alloy, or steel
2. combustor: nickel alloy, ceramic, or stainless steel
3. turbine: nickel alloy
4. exhaust nozzle: nickel alloy, titanium alloy, or steel"
Aircraft engine	Turbofan engine	-	"compressor: F
combustor: F
turbine: F
fan: F
bypass ducts: F
exhaust nozzle: F"	"1. compressor: titanium and nickel alloys
2. combustor: Nickel-based superalloy
3. turbine: Nickel-based superalloy
4. fan: titanium or composite materials
5. bypass ducts: titanium, aluminum, and composites
6. exhaust nozzle: titanium and Nickel-based superalloy"
Aircraft engine	Ramjet engine	-	"inlet: F
diffuser: F
combustor: F
nozzle: F"	"1. inlet: titanium or stainless steel
2. diffuser: titanium or stainless steel
3. combustor: nickel alloy or ceramic
4. nozzle: titanium or nickel alloy"
Aircraft engine	Scramjet engine	-	"inlet: F
diffuser: F
combustor: F
nozzle: F
variable geometry components: T"	"1. inlet: titanium and/or nickel-based alloys
2. diffuser: titanium and/or nickel-based alloys
3. combustor: titanium, nickel-based alloys, and/or ceramic matrix composites
4. nozzle: titanium, nickel-based alloys, and/or ceramic matrix composites
5. variable geometry components: titanium, nickel-based alloys, and/or smart materials (such as shape memory alloys)"
Airliner	Narrow-body airliner	-	"fuselage: F
wings: F
engines: F
tail: F
landing gear: F
cockpit: F
cabin: F"	"1. fuselage: aluminum alloy or composite materials
2. wings: aluminum alloy or composite materials
3. engines: titanium, nickel alloys, composite materials, and steels
4. tail: aluminum alloy or composite materials
5. landing gear: steel and/or aluminum alloy
6. cockpit: aluminum, composite materials, and electronics
7. cabin: aluminum, composite materials, and plastics"
Airliner	Wide-body airliner	-	"fuselage: F
wings: F
engines: F
tail: F
landing gear: F
cockpit: F
cabin: F
twin aisles: F"	"1. fuselage: aluminum alloy or composite materials
2. wings: aluminum alloy or composite materials
3. engines: titanium, aluminum, and composite materials
4. tail: aluminum alloy or composite materials
5. landing gear: steel and titanium
6. cockpit: aluminum, electronics, and composite materials
7. cabin: aluminum, textiles, and plastics
8. twin aisles: carpet and aluminum"
Airliner	Regional airliner	-	"fuselage: F
wings: F
engines: F
tail: F
landing gear: F
cockpit: F
cabin: F
fewer passenger seats: F"	"1. fuselage: aluminum alloys and/or composites
2. wings: aluminum alloys, composites, and/or titanium
3. engines: titanium, nickel alloys, composites, and steel
4. tail: aluminum alloys, composites, and/or titanium
5. landing gear: steel and/or aluminum alloys
6. cockpit: aluminum alloys, composites, plastics, and electronics
7. cabin: aluminum alloys, composites, plastics, textiles, and electronics
8. fewer passenger seats: aluminum alloys, plastics, textiles, and composites"
Airliner	Turboprop airliner	-	"fuselage: F
wings: F
turboprop engines: F
tail: F
landing gear: F
cockpit: F
cabin: F"	"1. fuselage: aluminum alloys or composite materials
2. wings: aluminum alloys or composite materials
3. turboprop engines: titanium, steel, and high-temperature alloys
4. tail: aluminum alloys or composite materials
5. landing gear: steel, titanium, and aluminum alloys
6. cockpit: electronics, aluminum alloys, and composite materials
7. cabin: aluminum alloys, plastics, textiles, and composite materials"
Airliner	Jet airliner	-	"fuselage: F
wings: F
jet engines: F
tail: F
landing gear: F
cockpit: F
cabin: F"	"1. fuselage: aluminum or composite materials
2. wings: aluminum or composite materials
3. jet engines: titanium, nickel alloys, and ceramic materials
4. tail: aluminum or composite materials
5. landing gear: steel and/or aluminum
6. cockpit: aluminum, glass, and electronics
7. cabin: aluminum, plastic, textiles, and/or composites"
Airlock	Spacecraft airlock	-	"outer door: F
inner door: F
chamber: F"	"1. outer door: metal and/or composite materials
2. inner door: metal and/or composite materials
3. chamber: metal"
Airlock	Submarine airlock	-	"outer door: F
inner door: F
chamber: F
water-tight seal: F"	"1. outer door: metal
2. inner door: metal
3. chamber: metal
4. water-tight seal: rubber"
Airlock	Hyperbaric chamber airlock	-	"outer door: F
inner door: F
chamber: F
pressure seal: F"	"1. outer door: metal
2. inner door: metal
3. chamber: metal
4. pressure seal: rubber or silicone"
Airplane	Commercial airliner	-	"fuselage: F
wings: F
engines: F
tail: F
landing gear: F
cockpit: F
cabin: F"	"1. fuselage: aluminum, composite materials
2. wings: aluminum, composite materials
3. engines: titanium, nickel alloys, and composite materials
4. tail: aluminum, composite materials
5. landing gear: steel, titanium, and aluminum
6. cockpit: aluminum, composite materials, glass, and electronics
7. cabin: aluminum, plastics, textiles, and composite materials"
Airplane	Military Fighter Jet	-	"fuselage: F
wings: F
engines: F
tail: F
landing gear: F
cockpit: F
armament: F"	"1. fuselage: aluminum, titanium, and/or composites
2. wings: aluminum, titanium, and/or composites
3. engines: high-strength alloys, ceramics, and/or composites
4. tail: aluminum, titanium, and/or composites
5. landing gear: steel, aluminum, and/or titanium
6. cockpit: aluminum, glass, and/or composites
7. armament: steel, other metals, and/or composites"
Airplane	Private plane	-	"fuselage: F
wings: F
engine: F
tail: F
landing gear: F
cockpit: F"	"1. fuselage: aluminum or composite materials
2. wings: aluminum or composite materials
3. engine: metal alloys and ceramics
4. tail: aluminum or composite materials
5. landing gear: steel or aluminum and/or composite materials
6. cockpit: aluminum, composite materials, and glass"
Airplane	Cargo plane	-	"fuselage: F
wings: F
engines: F
tail: F
landing gear: F
cockpit: F
cargo hold: F"	"1. fuselage: aluminum alloy or composite materials
2. wings: aluminum alloy or composite materials
3. engines: titanium, nickel alloy, and high-temperature alloys
4. tail: aluminum alloy or composite materials
5. landing gear: steel and titanium
6. cockpit: aluminum, glass, and electronics
7. cargo hold: aluminum alloy or composite materials"
Airplane	Seaplane	-	"fuselage: F
wings: F
engines: F
tail: F
cockpit: F
pontoons or hull for water landing: F"	"1. fuselage: aluminum or composite materials
2. wings: aluminum or composite materials
3. engines: metal alloys, ceramics, and composites
4. tail: aluminum or composite materials
5. cockpit: aluminum, composites, glass, and/or plastics
6. pontoons or hull for water landing: aluminum, composites, and/or fiberglass"
Airplane	Glider	-	"fuselage: F
wings: F
tail: F
cockpit: F
landing gear: T"	"1. fuselage: fiberglass, carbon fiber, aluminum, and/or wood
2. wings: fiberglass, carbon fiber, aluminum, and/or wood
3. tail: fiberglass, carbon fiber, aluminum, and/or wood
4. cockpit: fiberglass, carbon fiber, and plastic
5. landing gear: metal and rubber"
Airport	-	-	"runways: F
taxiways: F
terminal buildings: F
control tower: T
hangars: T
apron: F
specialized facilities: T"	"1. runways: asphalt or concrete
2. taxiways: asphalt or concrete
3. terminal buildings: steel, glass, and concrete
4. control tower: steel, glass, and concrete
5. hangars: steel, metal, and/or fabric
6. apron: asphalt or concrete
7. specialized facilities: steel, glass, concrete, and metal"
Airship	Non-rigid airship	-	"envelope: F
engine: F
gondola: T
fins: F"	"1. envelope: polyester and/or cotton fabric coated with neoprene or polyurethane
2. engine: metal, electronics
3. gondola: aluminum or composite materials
4. fins: polyester fabric or synthetic laminate"
Airship	Semi-rigid airship	-	"envelope: F
keel: F
engine: F
gondola: T
fins: F"	"1. envelope: fabric and/or polymer
2. keel: aluminum or composite materials
3. engine: metal and electronics
4. gondola: fabric, aluminum, and/or composites
5. fins: fabric and/or polymer"
Airship	Rigid airship	-	"metal framework: F
envelope: F
engine: F
gondola: T
fins: F"	"1. metal framework: aluminum or duralumin
2. envelope: cotton fabric and/or synthetic fabric coated with aluminum paint
3. engine: metal, various alloys
4. gondola: wood, aluminum, and/or fabric
5. fins: fabric, aluminum, and/or duralumin"
Alarm clock	Mechanical alarm clock	-	"body: F
face: F
hands: F
bell: F
hammer: F
keys: F
gears: F"	"1. body: metal or plastic
2. face: metal, plastic or paper
3. hands: metal or plastic
4. bell: metal
5. hammer: metal
6. keys: metal
7. gears: metal"
Alarm clock	Digital alarm clock	-	"body: F
digital display: F
buttons: F
electronic circuitry: F
speaker: F"	"1. body: plastic
2. digital display: glass and electronics
3. buttons: plastic
4. electronic circuitry: electronics
5. speaker: metal and plastics"
Alarm clock	Radio alarm clock	-	"body: F
digital display: F
buttons: F
electronic circuitry: F
speaker: F
radio receiver: F"	"1. body: plastic
2. digital display: electronics
3. buttons: plastic
4. electronic circuitry: electronics
5. speaker: metal and electronics
6. radio receiver: electronics"
Album	Studio album	-	"cover art: F
liner notes: F
audio content: F"	"1. cover art: paper or cardboard
2. liner notes: paper
3. audio content: polycarbonate (for CDs) or vinyl (for records) or digital files"
Album	Live album	-	"cover art: F
liner notes: F
audio content: F
live performance recording: F"	"1. cover art: paper or cardboard
2. liner notes: paper or cardboard
3. audio content: vinyl or CD polycarbonate plastic or magnetic tape
4. live performance recording: vinyl or CD polycarbonate plastic or magnetic tape"
Album	Compilation album	-	"cover art: F
liner notes: F
audio content: F
collection of previously released tracks: F"	"1. cover art: paper
2. liner notes: paper
3. audio content: digital or vinyl or polycarbonate
4. collection of previously released tracks: digital or vinyl or polycarbonate"
